id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
07001,Alaró,2020-01-01,4,103,0.96,16386.50,714.98,0.96
07002,Alaior,2020-01-01,43,396,0.89,51051.10,2167.66,0.96
07003,Alcúdia,2020-01-01,135,687,0.80,104986.13,16351.50,0.84
07004,Algaida,2020-01-01,33,132,0.75,23735.03,3786.97,0.84
07005,Andratx,2020-01-01,79,463,0.83,87579.60,7593.17,0.91
07006,Artà,2020-01-01,46,319,0.86,53091.80,5394.76,0.90
07007,Banyalbufar,2020-01-01,0,44,1.00,6247.00,0.00,1.00
07008,Binissalem,2020-01-01,17,144,0.88,22959.71,1325.24,0.94
07009,Búger,2020-01-01,5,49,0.90,4891.33,236.00,0.95
07010,Bunyola,2020-01-01,30,165,0.82,41103.40,4035.31,0.90
07011,Calvià,2020-01-01,305,1353,0.77,295243.81,21817.51,0.93
07012,Campanet,2020-01-01,13,54,0.76,9615.55,1640.55,0.83
07013,Campos,2020-01-01,50,294,0.83,70119.04,6486.20,0.91
07014,Capdepera,2020-01-01,75,526,0.86,102055.98,8243.88,0.92
07015,Ciutadella,2020-01-01,108,866,0.88,136968.09,17407.14,0.87
07016,Consell,2020-01-01,19,76,0.75,10856.23,1307.80,0.88
07017,Costitx,2020-01-01,14,45,0.69,5878.36,2577.51,0.56
07018,Deià,2020-01-01,7,33,0.79,5292.97,888.85,0.83
07019,Escorca,2020-01-01,19,22,0.14,6017.27,4126.82,0.31
07020,Esporles,2020-01-01,37,156,0.76,33914.00,8979.81,0.74
07021,Estellencs,2020-01-01,18,31,0.42,5210.66,2866.28,0.45
07022,Felanitx,2020-01-01,128,505,0.75,92016.45,20608.19,0.78
07023,Ferreries,2020-01-01,25,155,0.84,17171.83,4225.99,0.75
07024,Formentera,2020-01-01,106,195,0.46,53580.69,32483.98,0.39
07025,Fornalutx,2020-01-01,7,28,0.75,1914.80,402.37,0.79
07026,Eivissa,2020-01-01,175,551,0.68,85142.22,18506.81,0.78
07027,Inca,2020-01-01,86,454,0.81,65184.95,6857.04,0.89
07028,Lloret de Vistalegre,2020-01-01,3,33,0.91,4345.03,611.96,0.86
07029,Lloseta,2020-01-01,26,107,0.76,15373.14,2837.45,0.82
07030,Llubí,2020-01-01,17,60,0.72,14327.69,5796.83,0.60
07031,Llucmajor,2020-01-01,144,730,0.80,168708.89,12996.65,0.92
07032,Maó,2020-01-01,89,668,0.87,96589.47,15873.71,0.84
07033,Manacor,2020-01-01,197,1050,0.81,203799.56,33750.40,0.83
07034,Mancor de la Vall,2020-01-01,10,47,0.79,6103.27,787.32,0.87
07035,Maria de la Salut,2020-01-01,16,85,0.81,13270.52,1485.92,0.89
07036,Marratxí,2020-01-01,260,873,0.70,190032.19,28390.29,0.85
07037,Es Mercadal,2020-01-01,75,357,0.79,63663.71,7980.28,0.87
07038,Montuïri,2020-01-01,39,98,0.60,12220.59,4042.21,0.67
07039,Muro,2020-01-01,45,305,0.85,42929.25,3872.08,0.91
07040,Palma,2020-01-01,686,3972,0.83,724557.42,89249.23,0.88
07041,Petra,2020-01-01,12,111,0.89,15787.87,1099.56,0.93
07042,Pollença,2020-01-01,141,535,0.74,85967.68,18025.03,0.79
07043,Porreres,2020-01-01,18,104,0.83,15652.72,1955.57,0.88
07044,Sa Pobla,2020-01-01,36,219,0.84,53539.77,8273.14,0.85
07045,Puigpunyent,2020-01-01,23,67,0.66,14718.07,4027.80,0.73
07046,Sant Antoni de Portmany,2020-01-01,344,566,0.39,171909.69,126732.10,0.26
07047,Sencelles,2020-01-01,11,49,0.78,7019.54,611.58,0.91
07048,Sant Josep de sa Talaia,2020-01-01,445,711,0.37,231293.40,134053.42,0.42
07049,Sant Joan,2020-01-01,12,66,0.82,11987.23,2361.75,0.80
07050,Sant Joan de Labritja,2020-01-01,149,178,0.16,102674.21,85391.79,0.17
07051,Sant Llorenç des Cardassar,2020-01-01,106,422,0.75,67604.73,10379.38,0.85
07052,Sant Lluís,2020-01-01,53,479,0.89,73195.04,3707.84,0.95
07053,Santa Eugènia,2020-01-01,17,44,0.61,6879.97,2749.36,0.60
07054,Santa Eulària des Riu,2020-01-01,706,1038,0.32,326666.35,244060.24,0.25
07055,Santa Margalida,2020-01-01,87,423,0.79,78512.59,6607.00,0.92
07056,Santa María del Camí,2020-01-01,1,135,0.99,17883.43,69.79,1.00
07057,Santanyí,2020-01-01,221,782,0.72,133273.31,28395.73,0.79
07058,Selva,2020-01-01,28,126,0.78,14575.64,2247.53,0.85
07059,Ses Salines,2020-01-01,21,179,0.88,34436.37,1729.08,0.95
07060,Sineu,2020-01-01,48,178,0.73,20035.26,4669.37,0.77
07061,Sóller,2020-01-01,49,314,0.84,45792.02,4067.17,0.91
07062,Son Servera,2020-01-01,87,289,0.70,50370.51,9133.33,0.82
07063,Valldemossa,2020-01-01,37,124,0.70,20798.50,10658.95,0.49
07064,Es Castell,2020-01-01,4,196,0.98,30150.67,174.44,0.99
07065,Vilafranca de Bonany,2020-01-01,10,63,0.84,16504.58,948.39,0.94
07901,Ariany,2020-01-01,6,50,0.88,9453.20,377.66,0.96
07902,Es Migjorn Gran,2020-01-01,19,73,0.74,10316.88,2495.97,0.76
