id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
08001,Abrera,2020-11-01,12,302,0.96,842.62,61833.02,0.99
08002,Aguilar de Segarra,2020-11-01,0,5,1.00,0.00,570.85,1.00
08003,Alella,2020-11-01,7,289,0.98,324.08,55781.31,0.99
08004,Alpens,2020-11-01,16,46,0.65,864.57,3992.48,0.78
08005,l'Ametlla del Vallès,2020-11-01,45,275,0.84,5741.52,70939.45,0.92
08006,Arenys de Mar,2020-11-01,9,263,0.97,406.82,39587.06,0.99
08007,Arenys de Munt,2020-11-01,30,184,0.84,4186.67,36197.42,0.88
08008,Argençola,2020-11-01,4,35,0.89,181.93,3341.69,0.95
08009,Argentona,2020-11-01,42,288,0.85,4843.33,56334.36,0.91
08010,Artés,2020-11-01,5,162,0.97,311.46,24799.86,0.99
08011,Avià,2020-11-01,3,61,0.95,284.65,9188.69,0.97
08012,Avinyó,2020-11-01,4,96,0.96,231.08,13318.17,0.98
08013,Avinyonet del Penedès,2020-11-01,0,108,1.00,0.00,15253.45,1.00
08014,Aiguafreda,2020-11-01,12,98,0.88,381.41,14634.22,0.97
08015,Badalona,2020-11-01,2,1690,1.00,117.84,230934.25,1.00
08016,Bagà,2020-11-01,16,100,0.84,570.29,8993.45,0.94
08017,Balenyà,2020-11-01,15,132,0.89,609.28,16924.75,0.96
08018,Balsareny,2020-11-01,4,94,0.96,205.01,11357.92,0.98
08019,Barcelona,2020-11-01,78,7156,0.99,5034.70,923817.00,0.99
08020,Begues,2020-11-01,5,311,0.98,308.13,53769.79,0.99
08021,Bellprat,2020-11-01,0,15,1.00,0.00,1075.61,1.00
08022,Berga,2020-11-01,23,341,0.93,656.96,43698.10,0.98
08023,Bigues i Riells,2020-11-01,37,317,0.88,3080.89,90242.06,0.97
08024,Borredà,2020-11-01,0,39,1.00,0.00,3964.13,1.00
08025,el Bruc,2020-11-01,0,106,1.00,0.00,21324.32,1.00
08026,el Brull,2020-11-01,1,5,0.80,41.56,1106.03,0.96
08027,les Cabanyes,2020-11-01,1,38,0.97,16.55,6017.12,1.00
08028,Cabrera d'Anoia,2020-11-01,0,116,1.00,0.00,32116.38,1.00
08029,Cabrera de Mar,2020-11-01,7,177,0.96,418.12,28395.82,0.99
08030,Cabrils,2020-11-01,6,257,0.98,84.50,49504.27,1.00
08031,Calaf,2020-11-01,12,130,0.91,611.68,17749.27,0.97
08032,Caldes d'Estrac,2020-11-01,7,75,0.91,542.77,11949.44,0.95
08033,Caldes de Montbui,2020-11-01,46,377,0.88,3175.68,74329.46,0.96
08034,Calders,2020-11-01,3,59,0.95,77.91,13331.16,0.99
08035,Calella,2020-11-01,5,171,0.97,1203.82,34858.59,0.97
08036,Calonge de Segarra,2020-11-01,3,20,0.85,216.73,1786.90,0.88
08037,Calldetenes,2020-11-01,4,114,0.96,121.72,11274.04,0.99
08038,Callús,2020-11-01,4,61,0.93,310.44,9714.30,0.97
08039,Campins,2020-11-01,0,23,1.00,0.00,5487.11,1.00
08040,Canet de Mar,2020-11-01,3,298,0.99,375.57,37501.37,0.99
08041,Canovelles,2020-11-01,20,159,0.87,1498.08,34544.01,0.96
08042,Cànoves i Samalús,2020-11-01,25,111,0.77,1629.84,21736.26,0.93
08043,Canyelles,2020-11-01,3,234,0.99,140.09,54643.61,1.00
08044,Capellades,2020-11-01,0,97,1.00,0.00,15507.80,1.00
08045,Capolat,2020-11-01,0,1,1.00,0.00,140.86,1.00
08046,Cardedeu,2020-11-01,68,391,0.83,4262.33,64410.11,0.93
08047,Cardona,2020-11-01,8,121,0.93,311.73,18239.05,0.98
08048,Carme,2020-11-01,0,31,1.00,0.00,4217.89,1.00
08049,Casserres,2020-11-01,9,82,0.89,414.71,8242.24,0.95
08050,Castellar del Riu,2020-11-01,0,4,1.00,0.00,1981.98,1.00
08051,Castellar del Vallès,2020-11-01,30,565,0.95,1189.45,105470.97,0.99
08052,Castellar de n'Hug,2020-11-01,7,33,0.79,144.74,2534.99,0.94
08053,Castellbell i el Vilar,2020-11-01,3,151,0.98,51.84,29566.26,1.00
08054,Castellbisbal,2020-11-01,12,371,0.97,481.77,73679.14,0.99
08055,Castellcir,2020-11-01,1,51,0.98,57.43,11111.32,0.99
08056,Castelldefels,2020-11-01,61,838,0.93,3477.65,141915.89,0.98
08057,Castell de l'Areny,2020-11-01,1,5,0.80,73.20,808.53,0.91
08058,Castellet i la Gornal,2020-11-01,9,193,0.95,394.28,29746.73,0.99
08059,Castellfollit del Boix,2020-11-01,0,17,1.00,0.00,1584.24,1.00
08060,Castellfollit de Riubregós,2020-11-01,8,26,0.69,148.70,1480.34,0.90
08061,Castellgalí,2020-11-01,4,117,0.97,225.13,21305.55,0.99
08062,Castellnou de Bages,2020-11-01,4,66,0.94,418.60,17791.10,0.98
08063,Castellolí,2020-11-01,1,24,0.96,28.76,4140.33,0.99
08064,Castellterçol,2020-11-01,13,159,0.92,533.38,17377.48,0.97
08065,Castellví de la Marca,2020-11-01,5,70,0.93,167.72,7359.37,0.98
